CustomerID,Gender,Age,Annual Income (k$),Family_Size,Profession,location,Total,Spending Score (1-100),email_id
101,Female,23,62,2,Artist,angol,7161,41,intizar_08@yahoo.co.in
102,Female,49,62,2,Artist,khanapur,8504,48,manu29809@gmail.com
103,Male,67,62,3,Executive,chikkodi,7321,59,pankajdhaka.dav@hotmail.com
104,Male,26,62,4,Executive,bailhongal,6898,55,pranav165@yahoo.com
105,Male,49,62,4,Engineer,khanapur,642,56,arya.anit3@gmail.com
106,Female,21,62,3,Healthcare,khanapur,2525,42,meetshrotriya@gmail.com
107,Female,66,63,2,Entertainment,bailhongal,5477,50,manugarg1592@yahoo.in
108,Male,54,63,2,Marketing,sambra,1218,46,praveen_solanki29@yahoo.com
109,Male,68,63,2,Artist,chikkodi,9420,43,tanmaysharma07@gmail.com
110,Male,66,63,2,Engineer,chikkodi,4782,48,kartikkumar781@gmail.com
111,Male,65,63,5,Entertainment,belgaum,3291,52,intizar_08@yahoo.co.in
112,Female,19,63,5,Executive,angol,1863,54,manu29809@gmail.com
113,Female,38,64,2,Lawyer,angol,1671,42,pankajdhaka.dav@hotmail.com
114,Male,19,64,4,Healthcare,vadgaon,7489,46,pranav165@yahoo.com
115,Female,18,65,2,Engineer,khanapur,2780,48,arya.anit3@gmail.com
116,Female,19,65,5,Executive,nipani,6670,50,meetshrotriya@gmail.com
117,Female,63,65,4,Artist,nipani,5330,43,manugarg1592@yahoo.in
118,Female,49,65,4,Marketing,gokak,3708,59,praveen_solanki29@yahoo.com
119,Female,51,67,4,Artist,nipani,2044,43,tanmaysharma07@gmail.com
120,Female,50,67,2,Engineer,raibag,678,57,kartikkumar781@gmail.com
121,Male,27,67,5,Artist,sambra,5777,56,intizar_08@yahoo.co.in
122,Female,38,67,3,Doctor,khanapur,2718,40,manu29809@gmail.com
123,Female,40,69,5,Engineer,angol,7799,58,pankajdhaka.dav@hotmail.com
124,Male,39,69,5,Marketing,vadgaon,8906,91,pranav165@yahoo.com
125,Female,23,70,2,Engineer,belgaum,1394,29,arya.anit3@gmail.com
126,Female,31,70,1,Lawyer,chikkodi,1491,77,meetshrotriya@gmail.com
127,Male,43,71,4,Healthcare,sankeshwar,4508,35,manugarg1592@yahoo.in
128,Male,40,71,3,Artist,rakaskop,8149,95,praveen_solanki29@yahoo.com
129,Male,59,71,9,Lawyer,bailhongal,9777,11,tanmaysharma07@gmail.com
130,Male,38,71,1,Engineer,bagewadi,2170,75,kartikkumar781@gmail.com
131,Male,47,71,2,Engineer,gokak,4376,9,intizar_08@yahoo.co.in
132,Male,39,71,2,Artist,khanapur,7303,75,manu29809@gmail.com
133,Female,25,72,4,Healthcare,angol,2084,34,pankajdhaka.dav@hotmail.com
134,Female,31,72,4,Marketing,vadgaon,5398,71,pranav165@yahoo.com
135,Male,20,73,1,Executive,sambra,7884,5,arya.anit3@gmail.com
136,Female,29,73,4,Artist,raibag,2167,88,meetshrotriya@gmail.com
137,Female,44,73,2,Lawyer,sankeshwar,6987,7,manugarg1592@yahoo.in
138,Male,32,73,3,Artist,belgaum,3387,73,praveen_solanki29@yahoo.com
139,Male,19,74,1,Artist,vadgaon,6665,10,tanmaysharma07@gmail.com
140,Female,35,74,5,Healthcare,angol,3011,72,kartikkumar781@gmail.com
141,Female,57,75,5,Executive,khanapur,7956,5,intizar_08@yahoo.co.in
142,Male,32,75,5,Healthcare,chikkodi,5469,93,manu29809@gmail.com
143,Female,28,76,2,Doctor,bailhongal,3662,40,pankajdhaka.dav@hotmail.com
144,Female,32,76,3,Artist,khanapur,5445,87,pranav165@yahoo.com
145,Male,25,77,3,Homemaker,khanapur,5814,12,arya.anit3@gmail.com
146,Male,28,77,5,Artist,bailhongal,8607,97,meetshrotriya@gmail.com
147,Male,48,77,3,Artist,sambra,8644,36,manugarg1592@yahoo.in
148,Female,32,77,2,Artist,chikkodi,7696,74,praveen_solanki29@yahoo.com
149,Female,34,78,5,Artist,chikkodi,4499,22,tanmaysharma07@gmail.com
150,Male,34,78,2,Executive,belgaum,1508,90,kartikkumar781@gmail.com
151,Male,43,78,2,Lawyer,angol,5027,17,intizar_08@yahoo.co.in
152,Male,39,78,2,Artist,angol,4525,88,manu29809@gmail.com
153,Female,44,78,2,Lawyer,vadgaon,9135,20,pankajdhaka.dav@hotmail.com
154,Female,38,78,4,Artist,khanapur,286,76,pranav165@yahoo.com
155,Female,47,78,1,Engineer,nipani,3976,16,arya.anit3@gmail.com
156,Female,27,78,6,Healthcare,nipani,9173,89,meetshrotriya@gmail.com
157,Male,37,78,3,Healthcare,bagewadi,9983,1,manugarg1592@yahoo.in
158,Female,30,78,1,Engineer,gokak,3452,78,praveen_solanki29@yahoo.com
159,Male,34,78,2,Artist,khanapur,7986,1,tanmaysharma07@gmail.com
160,Female,30,78,4,Artist,angol,5518,73,kartikkumar781@gmail.com
161,Female,56,79,1,Artist,vadgaon,706,35,intizar_08@yahoo.co.in
162,Female,29,79,3,Doctor,sambra,848,83,manu29809@gmail.com
163,Male,19,81,2,Engineer,raibag,4300,5,pankajdhaka.dav@hotmail.com
164,Female,31,81,2,Artist,sankeshwar,1589,93,pranav165@yahoo.com
165,Male,50,85,3,Artist,belgaum,5485,26,arya.anit3@gmail.com
166,Female,36,85,2,Artist,vadgaon,7303,75,meetshrotriya@gmail.com
167,Male,42,86,2,Executive,angol,7762,20,manugarg1592@yahoo.in
168,Female,33,86,2,Artist,khanapur,5453,95,praveen_solanki29@yahoo.com
169,Female,36,87,3,Executive,chikkodi,8133,27,tanmaysharma07@gmail.com
170,Male,32,87,2,Artist,bailhongal,4814,63,kartikkumar781@gmail.com
171,Male,40,87,5,Artist,khanapur,924,13,intizar_08@yahoo.co.in
172,Male,28,87,2,Executive,khanapur,7388,75,manu29809@gmail.com
173,Male,36,87,2,Artist,bailhongal,224,10,pankajdhaka.dav@hotmail.com
174,Male,36,87,3,Healthcare,sambra,7291,92,pranav165@yahoo.com
175,Female,52,88,8,Engineer,chikkodi,2904,13,arya.anit3@gmail.com
176,Female,30,88,2,Healthcare,chikkodi,9544,86,meetshrotriya@gmail.com
177,Male,58,88,2,Entertainment,belgaum,6060,15,manugarg1592@yahoo.in
178,Male,27,88,3,Healthcare,angol,6301,69,praveen_solanki29@yahoo.com
179,Male,59,93,3,Healthcare,angol,5468,14,tanmaysharma07@gmail.com
180,Male,35,93,1,Artist,vadgaon,1417,90,kartikkumar781@gmail.com
181,Female,37,97,2,Doctor,khanapur,7911,32,intizar_08@yahoo.co.in
182,Female,32,97,2,Engineer,nipani,4355,86,manu29809@gmail.com
183,Male,46,98,1,Artist,nipani,8397,15,pankajdhaka.dav@hotmail.com
184,Female,29,98,4,Marketing,bagewadi,9694,88,pranav165@yahoo.com
185,Female,41,99,4,Doctor,gokak,2693,39,arya.anit3@gmail.com
186,Male,30,99,3,Healthcare,khanapur,7309,97,meetshrotriya@gmail.com
187,Female,54,101,2,Doctor,angol,1020,24,manugarg1592@yahoo.in
188,Male,28,101,2,Engineer,vadgaon,6734,68,praveen_solanki29@yahoo.com
189,Female,41,103,3,Artist,sambra,737,17,tanmaysharma07@gmail.com
190,Female,36,103,5,Healthcare,raibag,1837,85,kartikkumar781@gmail.com
191,Female,34,103,1,Homemaker,sankeshwar,4830,23,intizar_08@yahoo.co.in
192,Female,32,103,4,Artist,belgaum,2106,69,manu29809@gmail.com
193,Male,33,113,4,Healthcare,vadgaon,8783,8,pankajdhaka.dav@hotmail.com
194,Female,38,113,1,Marketing,angol,500,91,pranav165@yahoo.com
195,Female,47,120,4,Healthcare,khanapur,9734,16,arya.anit3@gmail.com
196,Female,35,120,2,Lawyer,chikkodi,5199,79,meetshrotriya@gmail.com
197,Female,45,126,4,Healthcare,bailhongal,5073,28,manugarg1592@yahoo.in
198,Male,32,126,1,Artist,khanapur,1609,74,praveen_solanki29@yahoo.com
199,Male,32,137,4,Healthcare,khanapur,496,18,tanmaysharma07@gmail.com
200,Male,30,137,5,Healthcare,bailhongal,8798,83,kartikkumar781@gmail.com
